Data_Point,Test_Time(s),Date_Time,Step_Time(s),Step_Index,Cycle_Index,Current(A),Voltage(V),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),dV/dt(V/s),Internal_Resistance(Ohm),Is_FC_Data,AC_Impedance(Ohm),ACI_Phase_Angle(Deg)
1,7200.015566,11/06/2015 22:07:00,7200.015566,1,1,0,3.411755323,0,0,0,0,0,0,0,0,0
2,7210.031692,11/06/2015 22:07:10,10.01557947,2,1,0.999833703,3.517304659,0.002781756,0,0.009761296,0,0.001295042,0,0,0,0
3,7220.047055,11/06/2015 22:07:20,20.03094205,2,1,0.999833703,3.527665377,0.005563489,0,0.019560638,0,0.000874186,0,0,0,0
4,7230.047128,11/06/2015 22:07:30,30.03101506,2,1,0.999833703,3.535597801,0.008340929,0,0.029370177,0,0.000710092,0,0,0,0
5,7240.047199,11/06/2015 22:07:40,40.0310861,2,1,1.000014305,3.54207325,0.011118371,0,0.039199389,0,0.00058279,0,0,0,0
6,7250.062748,11/06/2015 22:07:50,50.04663583,2,1,1.000014305,3.54676795,0.013900105,0,0.049059159,0,0.000420904,0,0,0,0
7,7260.077953,11/06/2015 22:08:00,60.06184057,2,1,0.999833703,3.550167561,0.016677454,0,0.058914829,0,0.000291395,0,0,0,0
8,7270.078199,11/06/2015 22:08:10,70.06208647,2,1,0.999833703,3.552595854,0.019459209,0,0.068794314,0,0.000194263,0,0,0,0
9,7280.093764,11/06/2015 22:08:20,80.07765092,2,1,0.999833703,3.554538488,0.022240922,0,0.078679499,0,0.000161886,0,0,0,0
10,7290.109288,11/06/2015 22:08:30,90.09317575,2,1,1.000014305,3.555995464,0.025022662,0,0.088569175,0,0.000161886,0,0,0,0
11,7300.124834,11/06/2015 22:08:40,100.1087215,2,1,0.999833703,3.557128668,0.02780438,0,0.098462215,0,9.71317E-05,0,0,0,0
12,7310.140423,11/06/2015 22:08:50,110.1243106,2,1,0.999833703,3.557938099,0.030586122,0,0.108358272,0,9.71317E-05,0,0,0,0
13,7320.155763,11/06/2015 22:09:00,120.1396503,2,1,0.999833703,3.558909416,0.033363451,0,0.118241012,0,9.71317E-05,0,0,0,0
14,7330.171421,11/06/2015 22:09:10,130.1553082,2,1,1.000014305,3.559718847,0.036145188,0,0.128141853,0,0.00012911,0,0,0,0
15,7340.187089,11/06/2015 22:09:20,140.1709765,2,1,0.999653101,3.560366392,0.03893128,0,0.138060328,0,6.47545E-05,0,0,0,0
16,7350.202671,11/06/2015 22:09:30,150.1865584,2,1,1.000014305,3.561175823,0.041713014,0,0.147965319,0,9.71317E-05,0,0,0,0
17,7360.218196,11/06/2015 22:09:40,160.2020832,2,1,0.999833703,3.561823368,0.044494711,0,0.157872252,0,6.47545E-05,0,0,0,0
18,7370.233828,11/06/2015 22:09:50,170.2177154,2,1,0.999833703,3.562470913,0.047276439,0,0.167781298,0,6.47545E-05,0,0,0,0
19,7380.249346,11/06/2015 22:10:00,180.2332337,2,1,0.999833703,3.563280344,0.050058144,0,0.177692286,0,6.47545E-05,0,0,0,0
20,7390.264593,11/06/2015 22:10:10,190.2484802,2,1,0.999833703,3.563766003,0.052835547,0,0.187589456,0,9.71317E-05,0,0,0,0
21,7400.264828,11/06/2015 22:10:20,200.2487156,2,1,0.999833703,3.564575434,0.055617207,0,0.197503985,0,6.47545E-05,0,0,0,0
22,7410.280427,11/06/2015 22:10:30,210.2643138,2,1,1.000014305,3.565384865,0.05839892,0,0.207420682,0,9.71317E-05,0,0,0,0
23,7420.295926,11/06/2015 22:10:40,220.2798133,2,1,0.999833703,3.565870523,0.061180649,0,0.217339439,0,0,0,0,0,0
24,7430.295929,11/06/2015 22:10:50,230.2798161,2,1,0.999653101,3.566679955,0.063958068,0,0.227244836,0,6.47545E-05,0,0,0,0
25,7440.295937,11/06/2015 22:11:00,240.2798244,2,1,0.999833703,3.567651272,0.066735472,0,0.237152245,0,9.71317E-05,0,0,0,0
26,7450.311356,11/06/2015 22:11:11,250.2952434,2,1,0.999833703,3.568298817,0.069517115,0,0.247076791,0,9.71317E-05,0,0,0,0
27,7460.326972,11/06/2015 22:11:21,260.3108588,2,1,0.999833703,3.569108248,0.072298815,0,0.257003462,0,9.71317E-05,0,0,0,0
28,7470.327028,11/06/2015 22:11:31,270.3109154,2,1,0.999833703,3.569755793,0.075076205,0,0.266916919,0,6.47545E-05,0,0,0,0
29,7480.342021,11/06/2015 22:11:41,280.3259088,2,1,1.000014305,3.570565224,0.077857732,0,0.276847201,0,6.47545E-05,0,0,0,0
30,7490.342361,11/06/2015 22:11:51,290.3262484,2,1,0.999833703,3.571374655,0.0806352,0,0.286765092,0,9.71317E-05,0,0,0,0
31,7500.357916,11/06/2015 22:12:01,300.341803,2,1,1.000014305,3.5720222,0.083416915,0,0.296700202,0,0.000129509,0,0,0,0
32,7510.373444,11/06/2015 22:12:11,310.3573316,2,1,0.999833703,3.572669744,0.086198608,0,0.306637345,0,6.47545E-05,0,0,0,0
33,7520.389,11/06/2015 22:12:21,320.3728869,2,1,0.999833703,3.573479176,0.088980314,0,0.316576647,0,6.47545E-05,0,0,0,0
