Switch FBS Name,ToU,Manufacturer,Type,Serial number,MAC Address,Total Nb of ports,Module,Port Nb,"V-LAN Name (IT,OT,Otx for now)",First Device name,First Device IP Address,First Device Mac Address,Another switch?
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,1,,Fiber,,,
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,2,,Fiber,,,
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,3,,EM.GCO30.LC01-KED05,,c4:4d:84:b5:ca:40,YES
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,5,OT,EM.GCO30.LC01-KEB01,10.206.4.66,ec:1c:5d:39:fe:e1,NO
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,6,IT,EM.GCO30.XXX01-KEC01,10.106.0.252,8c-f3-19-cd-0f-ca,NO
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,7,IT,EM.GCO30.XXX01-KEC02,10.106.0.253,8c-f3-19-cd-0f-66,NO
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,8,IT,EM.GCO30.LC01-KEB01,10.106.0.242,ec:1c:5d:39:fe:e4,NO
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,9,OT,EM.GCO30.LC01-KEB01.KE10,,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IE-3300-8T2S-E,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,1,10,OT,EM.GCO30.LC01-KE03,10.206.4.75,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,1,OT,EM.GCO30.LC01-KE04,10.206.4.76,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,2,OT,EM.GCO30.LC01-SZA01,10.206.4.70,d4:f5:27:e6:e0:d7,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,3,IT,EM.GCO30.LC01-SZA01,10.106.0.246,d4:f5:27:e7:21:47,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,4,OT,EM.BUM01.HLA01-KEB02,10.206.4.93,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,5,OT,EM.BUM01.HLA01-KEB01,10.206.4.94,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,8,OT,EM.GCO30.LC01-KEB11,10.206.4.72,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,9,OT,EM.GCO30.LC01-KE23,10.206.4.98,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,11,OT,EM.GCO30.LC01-KE22,10.206.4.88,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,12,OT,EM.GCO30.BZ01-ZZS01,10.206.4.81,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,13,OT,EM.GCO30.BZ06-ZZS01,10.206.4.107,-,NO
EM.GCO30.KED01,YES,Cisco,CIS.IEM-3300-16T,FCW2542Y0GX,c4:4d:84:b5:e7:e0,26,2,14,OT,EM.GCO30.LC01-KE26,10.206.4.101,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,1,,EM.GCO30.XXX01-KED01,,c4:4d:84:b5:e7:e0,YES
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,4,OT,EM.GCO30.LC01-KE05,10.206.4.77,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,6,OT,EM.GCO30.BZ04-ZZS01,10.206.4.84,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,7,OT,EM.GCO30.BZ05-ZZS01,10.206.4.85,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,8,OT,EM.GCO30.BZ03-ZZS01,10.206.4.83,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,9,OT,EM.TRA31.GLA01-KEB01,10.206.4.104,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IE-3300-8T2S-E,FCW2541ZV09,c4:4d:84:b5:ca:40,18,1,10,OT,EM.GCO30.BZ02-ZZS01,10.206.4.82,-,NO
EM.GCO30.LC01-KED05,NO,Cisco,CIS.IEM-3300-8T ,FCW2541ZV09,c4:4d:84:b5:ca:40,18,2,1,OT,EM.TRA30.GLA01-KEB01,10.206.4.103,-,NO
