FullName,StartValue
"""NVAPIdata_FG.M1.RM.GCO30"".NVAPIVersion","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.Handshake","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.StatusCode","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestAckNumber","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.ResponseAckNumber","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.ResponseTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.ActorFBS","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Target.GUID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Target.Label","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Target.NVID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Error","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.ErrorID","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.ErrorValue","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Judgement","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.SampleTag","false"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.StartTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.EndTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Recipe","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Judgement","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].StartTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].EndTime","LDT#1970-01-01-00:00:00"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].OperationTypeID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].OperationID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].SequenceNumber","0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.NokReason","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.WpcRFID","''"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.AdhesiveOpenDurationUpperLimit","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.AdhesiveOpenDurationLowerLimit","0.0"
"""NVAPIdata_FG.M1.RM.GCO30"".TraceabilityInformationPrisModuleStackWelded.RequestData.Body.Operations.LaserWeld.LaserWeld[0].Measurements.AdhesiveOpenDurationJudgement","''"
